time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-03T20:21:09.619Z,45.0782,-106.8741,0,3.4,ml,,49,1.673,1.13,us,us6000h1vg,2022-05-07T21:32:32.040Z,"29 km NE of Ranchester, Wyoming",mining explosion,2.7,1.6,0.042,76,reviewed,us,us
2022-03-03T17:10:07.837Z,47.5794,-92.7274,0,3,ml,,83,0.908,0.77,us,us6000h1u5,2022-05-07T21:32:32.040Z,"7 km N of Kinney, Minnesota",mining explosion,2,1.9,0.105,12,reviewed,us,us
2022-03-01T18:25:36.163Z,47.6621,-92.4872,0,2.9,ml,,85,0.726,0.51,us,us6000h16u,2022-05-07T21:32:32.040Z,"15 km NNE of Virginia, Minnesota",mining explosion,4.9,2,0.105,12,reviewed,us,us
2022-02-27T21:03:22.850Z,43.9027,-105.3439,0,3.1,ml,,89,0.968,0.14,us,us6000h0kk,2022-05-07T21:32:32.040Z,"20 km NE of Wright, Wyoming",mining explosion,7.2,1.8,0.042,74,reviewed,us,us
2022-02-25T22:01:11.293Z,43.864,-105.2908,0,3.1,ml,,66,0.941,0.72,us,us6000h06v,2022-05-04T13:40:47.040Z,"20 km NE of Wright, Wyoming",mining explosion,4.9,1.8,0.045,66,reviewed,us,us
2022-02-25T21:10:07.058Z,44.3032,-105.4576,0,2.7,ml,,112,1.038,0.46,us,us6000h1g0,2022-05-04T13:40:46.040Z,"3 km ENE of Gillette, Wyoming",mining explosion,4.7,1.8,0.077,22,reviewed,us,us
2022-02-24T22:33:56.695Z,43.6187,-105.3102,0,3,ml,,122,1.049,0.53,us,us6000gzwq,2022-05-04T13:40:27.040Z,"20 km SE of Wright, Wyoming",mining explosion,2.8,1.7,0.071,26,reviewed,us,us
2022-02-24T20:59:21.494Z,44.1084,-105.4343,0,2.8,ml,,93,1.007,0.96,us,us6000h16e,2022-05-04T13:40:26.040Z,"13 km SSE of Antelope Valley-Crestview, Wyoming",mining explosion,4.3,1.7,0.051,50,reviewed,us,us
2022-02-23T22:12:57.663Z,43.795,-105.3284,0,2.9,ml,,82,0.988,0.42,us,us6000gzn0,2022-05-04T13:40:10.040Z,"14 km ENE of Wright, Wyoming",mining explosion,6,1.7,0.049,64,reviewed,us,us
2022-02-21T21:05:25.450Z,43.7889,-105.332,0,3.1,ml,,113,0.993,0.37,us,us7000gms3,2022-05-04T13:39:28.040Z,"13 km ENE of Wright, Wyoming",mining explosion,4.4,1.7,0.051,60,reviewed,us,us
