time,lat,lon,depth,mag,magType,nst,gap,dmin,rms
2022-10-23T15:14:11.820Z,37.1215,-121.5215,6.31,2.65,md,90,30,0.06295,0.11
2022-10-23T09:24:58.150Z,33.4806667,-116.4261667,5.79,3.27,ml,120,25,0.04262,0.19
2022-10-22T19:41:33.840Z,36.83533333,-97.87183333,7.18,2.93,ml,95,74,0,0.22
2022-10-22T14:32:42.450Z,39.3107,-114.5493,10,2.9,ml,10,58.18,0.355,0.3486
2022-10-22T11:29:09.951Z,39.6703,-116.7279,15.9,2.6,ml,5,285.29,0.907,0.2115
2022-10-22T09:30:14.356Z,39.6096,-116.9273,12.8,3.4,ml,15,93.62,0.8,0.1924
2022-10-22T07:22:45.991Z,39.6995,-116.7163,9.8,2.8,ml,5,130.7,0.938,0.1969
2022-10-22T06:25:20.380Z,37.8021667,-122.608,4.82,2.57,md,82,92,0.09855,0.07
2022-10-22T01:29:57.340Z,40.5906667,-124.0748333,24.1,2.61,md,34,33,0.1233,0.12
2022-10-21T20:57:35.150Z,31.68212359,-104.3957777,7.416967773,3.1,ml,47,45,0.040367755,0.2
2022-10-21T19:57:58.254Z,31.67243422,-104.4016123,6.74855957,3.7,ml,69,45,0.030610567,0.2
2022-10-21T19:57:58.047Z,31.6826,-104.419,5,3.5,mwr,96,50,0.029,0.5
2022-10-21T19:21:14.830Z,31.66692993,-104.3999478,6.851391602,3.1,ml,17,70,0.029389455,0.2
2022-10-21T18:54:22.400Z,38.8256667,-122.8228333,1.28,2.53,md,75,29,0.009862,0.05
2022-10-21T18:50:26.600Z,38.8333333,-122.8171667,1.39,2.78,md,83,37,0.01137,0.05
2022-10-20T20:02:47.270Z,37.3605,-121.7188333,6.42,2.52,md,76,29,0.04174,0.07
2022-10-20T18:41:46.858Z,31.64865291,-104.223799,6.131567383,2.5,ml,18,59,0.041908797,0.2
